type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
text,IntroductionYear_pop13,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop13} = 'introduced' or ${Origin_pop13} = 'reintroduced' or ${Origin_pop13} = 'supplemented',,,
decimal,Ne_pop13,What is the effective population size (Ne) for population 13? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop13,"If available, which is the lower limit of the Ne confidence interval for population 13?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop13} != -999 and ${Ne_pop13} != '',(. = -999  or . > 0) and . <= ${Ne_pop13},,
decimal,NeUpper_pop13,"If available, which is the upper limit of the Ne confidence interval for population 13?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop13} != -999 and ${Ne_pop13} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop13} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop13,In what year was the data used to estimate Ne collected for population 13?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop13} != -999 and ${Ne_pop13} != '',,,
select_one dp0ro30,GeneticMarkers_pop13,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop13} != -999 and ${Ne_pop13} != '',,,
text,GeneticMarkersOther_pop13,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop13} = 'other',,,
select_one ry7lu40,MethodNe_pop13,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop13} != -999 and ${Ne_pop13} != '',,,
text,SourceNe_pop13,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop13} != -999 and ${Ne_pop13} != '',,,
select_one tw2mv60,transboundary_pop13,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 13 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop13,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop13} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop13,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop13} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop13,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop13,In what year was the Nc estimated for population 13?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop13} != 'unknown',,,
select_one ed5dt93,NcMethod_pop13,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop13} != 'unknown',,,
select_one gn04r19,NcRange_pop13,Whats the range of the Nc for population 13?,,true,,,${NcType_pop13} = 'Nc_range',,,
text,NcRangeDetails_pop13,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop13} != '' or ${NcType_pop13} = 'Nc_range',,,
integer,NcPoint_pop13,"If known, what is the census population size (Nc) for population 13? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop13} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop13,"If available, which is the LOWER limit of the Nc confidence interval for population 13?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop13} != '',(. = -999 or . > 0) and . < ${NcPoint_pop13},,
decimal,NcUpper_pop13,"If available, which is the UPPER limit of the Nc confidence interval for population 13?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop13} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop13}),,
text,SourceNc_pop13,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop13} != 'unknown',,,
text,Comments_pop13,Any additional comments or notes regarding the information that has been provided or why it could not be for population 13?,,false,,,${n_extant_populations} >= 13,,,
end_group,,,,,,,,,,
begin_group,pop14,Population 14,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 14,,,
text,Name_pop14,Population 14 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 14,,,
select_one vw6md17,Origin_pop14,What is the origin of population 14?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 14,,,
text,IntroductionYear_pop14,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop14} = 'introduced' or ${Origin_pop14} = 'reintroduced' or ${Origin_pop14} = 'supplemented',,,
decimal,Ne_pop14,What is the effective population size (Ne) for population 14? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop14,"If available, which is the lower limit of the Ne confidence interval for population 14?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop14} != -999 and ${Ne_pop14} != '',(. = -999  or . > 0) and . <= ${Ne_pop14},,
decimal,NeUpper_pop14,"If available, which is the upper limit of the Ne confidence interval for population 14?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop14} != -999 and ${Ne_pop14} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop14} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop14,In what year was the data used to estimate Ne collected for population 14?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop14} != -999 and ${Ne_pop14} != '',,,
select_one dp0ro30,GeneticMarkers_pop14,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop14} != -999 and ${Ne_pop14} != '',,,
text,GeneticMarkersOther_pop14,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop14} = 'other',,,
select_one ry7lu40,MethodNe_pop14,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop14} != -999 and ${Ne_pop14} != '',,,
text,SourceNe_pop14,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop14} != -999 and ${Ne_pop14} != '',,,
select_one tw2mv60,transboundary_pop14,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 14 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop14,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop14} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop14,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop14} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop14,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop14,In what year was the Nc estimated for population 14?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop14} != 'unknown',,,
select_one ed5dt93,NcMethod_pop14,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop14} != 'unknown',,,
select_one gn04r19,NcRange_pop14,Whats the range of the Nc for population 14?,,true,,,${NcType_pop14} = 'Nc_range',,,
text,NcRangeDetails_pop14,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop14} != '' or ${NcType_pop14} = 'Nc_range',,,
integer,NcPoint_pop14,"If known, what is the census population size (Nc) for population 14? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop14} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop14,"If available, which is the LOWER limit of the Nc confidence interval for population 14?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop14} != '',(. = -999 or . > 0) and . < ${NcPoint_pop14},,
decimal,NcUpper_pop14,"If available, which is the UPPER limit of the Nc confidence interval for population 14?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop14} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop14}),,
text,SourceNc_pop14,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop14} != 'unknown',,,
text,Comments_pop14,Any additional comments or notes regarding the information that has been provided or why it could not be for population 14?,,false,,,${n_extant_populations} >= 14,,,
end_group,,,,,,,,,,
begin_group,pop15,Population 15,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 15,,,
text,Name_pop15,Population 15 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 15,,,
select_one vw6md17,Origin_pop15,What is the origin of population 15?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 15,,,
text,IntroductionYear_pop15,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop15} = 'introduced' or ${Origin_pop15} = 'reintroduced' or ${Origin_pop15} = 'supplemented',,,
decimal,Ne_pop15,What is the effective population size (Ne) for population 15? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop15,"If available, which is the lower limit of the Ne confidence interval for population 15?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop15} != -999 and ${Ne_pop15} != '',(. = -999  or . > 0) and . <= ${Ne_pop15},,
decimal,NeUpper_pop15,"If available, which is the upper limit of the Ne confidence interval for population 15?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop15} != -999 and ${Ne_pop15} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop15} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop15,In what year was the data used to estimate Ne collected for population 15?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop15} != -999 and ${Ne_pop15} != '',,,
select_one dp0ro30,GeneticMarkers_pop15,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop15} != -999 and ${Ne_pop15} != '',,,
text,GeneticMarkersOther_pop15,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop15} = 'other',,,
select_one ry7lu40,MethodNe_pop15,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop15} != -999 and ${Ne_pop15} != '',,,
text,SourceNe_pop15,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop15} != -999 and ${Ne_pop15} != '',,,
select_one tw2mv60,transboundary_pop15,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 15 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop15,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop15} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop15,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop15} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop15,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop15,In what year was the Nc estimated for population 15?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop15} != 'unknown',,,
select_one ed5dt93,NcMethod_pop15,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop15} != 'unknown',,,
select_one gn04r19,NcRange_pop15,Whats the range of the Nc for population 15?,,true,,,${NcType_pop15} = 'Nc_range',,,
text,NcRangeDetails_pop15,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop15} != '' or ${NcType_pop15} = 'Nc_range',,,
integer,NcPoint_pop15,"If known, what is the census population size (Nc) for population 15? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop15} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop15,"If available, which is the LOWER limit of the Nc confidence interval for population 15?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop15} != '',(. = -999 or . > 0) and . < ${NcPoint_pop15},,
decimal,NcUpper_pop15,"If available, which is the UPPER limit of the Nc confidence interval for population 15?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop15} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop15}),,
text,SourceNc_pop15,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop15} != 'unknown',,,
text,Comments_pop15,Any additional comments or notes regarding the information that has been provided or why it could not be for population 15?,,false,,,${n_extant_populations} >= 15,,,
end_group,,,,,,,,,,
begin_group,pop16,Population 16,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 16,,,
text,Name_pop16,Population 16 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 16,,,
select_one vw6md17,Origin_pop16,What is the origin of population 16?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 16,,,
text,IntroductionYear_pop16,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop16} = 'introduced' or ${Origin_pop16} = 'reintroduced' or ${Origin_pop16} = 'supplemented',,,
decimal,Ne_pop16,What is the effective population size (Ne) for population 16? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop16,"If available, which is the lower limit of the Ne confidence interval for population 16?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop16} != -999 and ${Ne_pop16} != '',(. = -999  or . > 0) and . <= ${Ne_pop16},,
decimal,NeUpper_pop16,"If available, which is the upper limit of the Ne confidence interval for population 16?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop16} != -999 and ${Ne_pop16} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop16} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop16,In what year was the data used to estimate Ne collected for population 16?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop16} != -999 and ${Ne_pop16} != '',,,
select_one dp0ro30,GeneticMarkers_pop16,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop16} != -999 and ${Ne_pop16} != '',,,
text,GeneticMarkersOther_pop16,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop16} = 'other',,,
select_one ry7lu40,MethodNe_pop16,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop16} != -999 and ${Ne_pop16} != '',,,
text,SourceNe_pop16,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop16} != -999 and ${Ne_pop16} != '',,,
select_one tw2mv60,transboundary_pop16,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 16 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop16,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop16} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop16,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop16} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop16,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop16,In what year was the Nc estimated for population 16?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop16} != 'unknown',,,
select_one ed5dt93,NcMethod_pop16,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop16} != 'unknown',,,
select_one gn04r19,NcRange_pop16,Whats the range of the Nc for population 16?,,true,,,${NcType_pop16} = 'Nc_range',,,
text,NcRangeDetails_pop16,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop16} != '' or ${NcType_pop16} = 'Nc_range',,,
integer,NcPoint_pop16,"If known, what is the census population size (Nc) for population 16? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop16} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop16,"If available, which is the LOWER limit of the Nc confidence interval for population 16?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop16} != '',(. = -999 or . > 0) and . < ${NcPoint_pop16},,
decimal,NcUpper_pop16,"If available, which is the UPPER limit of the Nc confidence interval for population 16?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop16} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop16}),,
text,SourceNc_pop16,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop16} != 'unknown',,,
text,Comments_pop16,Any additional comments or notes regarding the information that has been provided or why it could not be for population 16?,,false,,,${n_extant_populations} >= 16,,,
end_group,,,,,,,,,,
begin_group,pop17,Population 17,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 17,,,
text,Name_pop17,Population 17 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 17,,,
select_one vw6md17,Origin_pop17,What is the origin of population 17?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 17,,,
text,IntroductionYear_pop17,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop17} = 'introduced' or ${Origin_pop17} = 'reintroduced' or ${Origin_pop17} = 'supplemented',,,
decimal,Ne_pop17,What is the effective population size (Ne) for population 17? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop17,"If available, which is the lower limit of the Ne confidence interval for population 17?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop17} != -999 and ${Ne_pop17} != '',(. = -999  or . > 0) and . <= ${Ne_pop17},,
decimal,NeUpper_pop17,"If available, which is the upper limit of the Ne confidence interval for population 17?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop17} != -999 and ${Ne_pop17} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop17} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop17,In what year was the data used to estimate Ne collected for population 17?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop17} != -999 and ${Ne_pop17} != '',,,
select_one dp0ro30,GeneticMarkers_pop17,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop17} != -999 and ${Ne_pop17} != '',,,
text,GeneticMarkersOther_pop17,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop17} = 'other',,,
select_one ry7lu40,MethodNe_pop17,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop17} != -999 and ${Ne_pop17} != '',,,
text,SourceNe_pop17,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop17} != -999 and ${Ne_pop17} != '',,,
select_one tw2mv60,transboundary_pop17,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 17 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop17,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop17} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop17,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop17} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop17,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop17,In what year was the Nc estimated for population 17?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop17} != 'unknown',,,
select_one ed5dt93,NcMethod_pop17,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop17} != 'unknown',,,
select_one gn04r19,NcRange_pop17,Whats the range of the Nc for population 17?,,true,,,${NcType_pop17} = 'Nc_range',,,
text,NcRangeDetails_pop17,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop17} != '' or ${NcType_pop17} = 'Nc_range',,,
integer,NcPoint_pop17,"If known, what is the census population size (Nc) for population 17? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop17} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop17,"If available, which is the LOWER limit of the Nc confidence interval for population 17?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop17} != '',(. = -999 or . > 0) and . < ${NcPoint_pop17},,
decimal,NcUpper_pop17,"If available, which is the UPPER limit of the Nc confidence interval for population 17?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop17} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop17}),,
text,SourceNc_pop17,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop17} != 'unknown',,,
text,Comments_pop17,Any additional comments or notes regarding the information that has been provided or why it could not be for population 17?,,false,,,${n_extant_populations} >= 17,,,
end_group,,,,,,,,,,
begin_group,pop18,Population 18,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 18,,,
text,Name_pop18,Population 18 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 18,,,
select_one vw6md17,Origin_pop18,What is the origin of population 18?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 18,,,
text,IntroductionYear_pop18,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop18} = 'introduced' or ${Origin_pop18} = 'reintroduced' or ${Origin_pop18} = 'supplemented',,,
decimal,Ne_pop18,What is the effective population size (Ne) for population 18? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop18,"If available, which is the lower limit of the Ne confidence interval for population 18?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop18} != -999 and ${Ne_pop18} != '',(. = -999  or . > 0) and . <= ${Ne_pop18},,
decimal,NeUpper_pop18,"If available, which is the upper limit of the Ne confidence interval for population 18?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop18} != -999 and ${Ne_pop18} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop18} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop18,In what year was the data used to estimate Ne collected for population 18?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop18} != -999 and ${Ne_pop18} != '',,,
select_one dp0ro30,GeneticMarkers_pop18,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop18} != -999 and ${Ne_pop18} != '',,,
