type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
select_one ih84p17,ratio_exists,Is there a known effective population size to census size (Ne/Nc) ratio for this species or a highly similar/closely [related species](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/7\_Glossary/Glossary.html#closely-related-species) (e.g. within the same genus and having the same life history traits)?,See [guidelines on How to get the Ne/Nc ratio](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/3\_Howto\_guides\_examples/Ne\_Nc-ratio.html),true,,,${nc_pops_exists} = 'yes',,,
text,species_related,What closely related/highly similar species is the ratio based on?,Please write the scientific name.,false,,,${ratio_exists} = 'yes_similarsp',,,
text,ratio_species_related,"If yes (at the species level), please provide the ratio.","Use decimals (""."") instead of ""/"". NOTE: A single value per species is recommended; however, if there is some uncertainty in this ratio, a range may be provided.",false,,,${ratio_exists} = 'yes_species' or ${ratio_exists} = 'yes_similarsp',,,
text,ratio_year,"In what year was the ratio established (sampling, not publication)?",,true,text,,${ratio_exists} = 'yes_species',,,
text,source_popsize_ratios,"Source of ratio data (literature reference, website link, expert consultation)","Please list all relevant sources used in determining the conversion ratio and provide further information if needed. If it was based on expert consultation, please provide name of expert(s).",false,multiline,,${ratio_exists} = 'yes_species' or ${ratio_exists} = 'yes_similarsp',,,
text,species_comments,Any additional comments or notes regarding the information that has been provided above.,,false,,,,,,
end_group,,,,,,,,,,
begin_group,section5,Section 5: Population size data for the proportion of populations with an affective population size > 500 (Ne 500 indicator),Please provide additional information for each population,false,,,${popsize_data} = 'yes',,,
note,section5_note,"Questions in this section are directly associated with calculating the Ne 500 indicator. This section will only appear if you stated that there is Nc or Ne data for at least one population.   Also the number of populations you will be required to answer questions is directly related to the number of EXTANT  populations that were entered in Section 3. Data for no more than 25 populations can be entered in the kobo form, but more can be added in the [text template](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/6\_Calculations\_and\_reporting/R\_scripts.html#getting-the-population-data-if-the-template-was-used)",,false,,,,,,
select_one ux2pk76,kobo_tabular,"If you have a large number of populations, would you prefer to enter them individually in the Kobo Form OR upload a spreadsheet with the required information?",Only choose the upload option if you have a large number of populations.  The template provided in the Kobo Manual MUST be used.,true,,,${n_extant_populations} > 25,,,
file,pop_tabular_file,Please upload the .txt file following the template you can find [HERE](https://github.com/AliciaMstt/GeneticIndicators?tab=readme-ov-file#22-population-information-template),"in the file name, please follow this format: country\_speciesname\_assesorname.txt Make sure to save as ""tab delimited""",true,,,${kobo_tabular} = 'tabular',,""".txt""",
begin_group,pop1,Population 1,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 1,,,
text,Name_pop1,Population 1 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 1,,,
select_one vw6md17,Origin_pop1,What is the origin of population 1? See definitions [HERE](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/7\_Glossary/Glossary.html#origin--of-population),"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 1,,,
text,IntroductionYear_pop1,"When was the population translocated (introduced, re-introduced or supplemented)?",,false,,,${Origin_pop1} = 'introduced' or ${Origin_pop1} = 'reintroduced' or ${Origin_pop1} = 'supplemented',,,
decimal,Ne_pop1,What is the effective population size (Ne) for population 1? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop1,"If available, which is the lower limit of the Ne confidence interval for population 1?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop1} != -999 and ${Ne_pop1} != '',(. = -999  or . > 0) and . <= ${Ne_pop1},,
note,Did_you_mean_999_2,Did you mean -999 instead of 999? please change to **-999**,,false,,,${NeLower_pop1} = 999,,,
decimal,NeUpper_pop1,"If available, which is the upper limit of the Ne confidence interval for population 1?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop1} != -999 and ${Ne_pop1} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop1} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
note,Did_you_mean_999_2_001,Did you mean -999 instead of 999? please change to **-999**,,false,,,${NeUpper_pop1} = 999,,,
text,NeYear_pop1,In what year was the data used to estimate Ne collected for population 1?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop1} != '',,,
select_one dp0ro30,GeneticMarkers_pop1,What genetic markers were used to estimate Ne for THIS population? See definitions [HERE](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/7\_Glossary/Glossary.html#genetic-markers),,true,,,${Ne_pop1} != '',,,
text,GeneticMarkersOther_pop1,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop1} = 'other',,,
